logFC	logCPM	PValue	FDR
YPK_3784	-1.27258358979576	10.4368877631189	0.000741039368165935	0.0645999898947374
YPK_0284	-1.25893726952112	10.2463680604556	0.000755215709201067	0.0645999898947374
YPK_1001	1.57385499549615	9.59540879018811	0.000873494857394357	0.0718814390821912
YPK_2049	1.66188380769511	10.4281846990585	0.000883434952748753	0.0718814390821912
YPK_0174	1.00223672999153	11.9067531539953	0.000913791106161022	0.072581122146504
YPK_3267	-0.954761386445802	11.9694059810208	0.000970101828905922	0.0752618535169803
YPK_1694	1.67293671696552	12.3080726680386	0.00108024513509104	0.0819022220605389
YPK_2079	5.5050402840865	7.42907403646047	0.00119053686758231	0.0871768178184794
YPK_1134	-0.715918817885766	12.2818669742997	0.00120207842315649	0.0871768178184794
YPK_1277	-1.88759586663476	8.62987512590193	0.00127530556869569	0.0905195612163577
YPK_0842	5.84893968950119	7.64118759782984	0.00140345345467252	0.0964711149954545
YPK_2614	-1.76099104406588	8.70016028575703	0.00142880624803186	0.0964711149954545
YPK_4146	-1.76017586467889	9.03314035311166	0.00144590999693427	0.0964711149954545
YPK_0554	2.6248083900281	8.12737413651065	0.0015051336506656	0.0970617796416144
YPK_3520	-2.19799912451511	8.31861381619157	0.00151295339968943	0.0970617796416144
YPK_1544	5.25556814766926	7.28543360190869	0.00170609947045194	0.104558820843525
YPK_0453	-1.94604019063196	8.66952162287666	0.00171989680057863	0.104558820843525
YPK_3850	1.89243242979549	9.2629753331284	0.00172384147074157	0.104558820843525
YPK_1183	1.23326032574968	10.0992054551831	0.00183380912972284	0.109242629584918
YPK_2975	5.49557538007481	7.42486700813503	0.00189143594697715	0.110698777528347
YPK_0547	-1.06043284677646	10.2560731386847	0.00227547765542298	0.128103610819149
YPK_1511	1.79233467767635	8.59057185267527	0.00227775102565815	0.128103610819149
YPK_3732	-4.12916675634924	7.55557983594178	0.00230402177732282	0.128103610819149
YPK_0013	2.34798939041153	8.35851524092022	0.00240681566963236	0.131625197932681
YPK_2955	-0.895269179682513	11.6073139782526	0.00250248235233583	0.131904226920241
YPK_3039	5.25062365377181	7.28323516544111	0.00253249796847702	0.131904226920241
YPK_3692	3.52180285869391	7.51518389871362	0.00254420814622872	0.131904226920241
YPK_4113	1.29924308047025	11.2508308419444	0.00257007636385362	0.131904226920241
YPK_1780	3.11132467987864	7.83021746483034	0.0026957764668766	0.134904619459269
YPK_2475	1.08749925721793	10.0370655333939	0.00273231898252202	0.134904619459269
YPK_2496	5.16344651455881	7.23454894948131	0.0027498543534863	0.134904619459269
YPK_0288	-1.31091240865859	9.6365882614325	0.00293034296366067	0.141291067159369
YPK_2466	-0.790612189898514	13.9630622192891	0.00296474061785246	0.141291067159369
YPK_2784	1.57413485075732	8.74899170701728	0.00324400194701815	0.151974055063598
YPK_1575	5.69562927022428	7.5492802873449	0.00328001557691218	0.151974055063598
YPK_3165	1.5815628605164	9.01731270726903	0.00359588990468307	0.163611779085395
YPK_3516	-2.44777347001652	7.86635433937383	0.00362927807323717	0.163611779085395
YPK_0860	1.66912020618651	8.61017701271275	0.00372430258497766	0.164123920491356
YPK_1140	-1.01230429987638	11.9682622395764	0.00376352031684152	0.164123920491356
YPK_4214	2.54255353025488	10.4123984565338	0.0037882319777681	0.164123920491356
YPK_1741	5.24429540224835	7.28080827650782	0.00390998378545556	0.167226998824099
YPK_2022	-1.61471003893359	8.53085625360086	0.00402630500204473	0.170022196035712
YPK_4133	2.12792263583984	8.05751389403104	0.00423999981040108	0.176807992093725
YPK_3724	-0.931359194836763	10.8444998100244	0.00429484545934957	0.176884005585064
YPK_1076	1.63122689906926	8.59219135057322	0.00444829205830337	0.17851435924898
YPK_2218	5.33494059537517	7.33139784159556	0.00446968930207395	0.17851435924898
YPK_0027	-2.12522380413161	8.51410426845154	0.00449496588037001	0.17851435924898
YPK_1182	2.17780739169555	8.0793439938803	0.00459767073812488	0.180445053910407
YPK_2046	-1.7684454117917	8.55801095614138	0.00468962260912085	0.181913732837525
YPK_1504	-2.68368593021498	7.79597422363072	0.0048263835510531	0.184570001774439
YPK_0564	1.58064956198154	8.84141068479045	0.00486875304440966	0.184570001774439
YPK_3457	1.57905467585426	8.66106204267078	0.00543055464892449	0.20355427313272
YPK_2680	5.25047409223881	7.28332648199582	0.00550630942277046	0.204100535937358
YPK_1594	-1.82265826109897	8.19759825639816	0.00565179931613735	0.207191236468508
YPK_0338	-0.882400753244418	10.5386246918689	0.00611149623311278	0.22160816775722
YPK_3598	2.70826905323819	7.92466809885777	0.00618555351486398	0.221881790597702
YPK_2008	-1.74445626907124	8.25583363998135	0.00653348278072332	0.231869133579713
YPK_1063	0.738676440987072	12.617489409471	0.00667462454619401	0.234384710380034
YPK_0995	-3.63538977009951	7.27556426168498	0.00680284147756327	0.236250146943853
YPK_0302	-0.995320317281701	9.79338103736958	0.00686938376905088	0.236250146943853
YPK_1169	5.07066068490023	7.18392130087233	0.00714758345752678	0.243309575656218
YPK_0319	5.51280458046426	7.43132822555597	0.00745233407637996	0.245447789793232
YPK_1185	4.95912844241668	7.12673369872744	0.00752241204235629	0.245447789793232
YPK_0294	-1.43879781747022	9.14361169914168	0.0075233292198529	0.245447789793232
YPK_4193	1.25045421633052	9.07245322668517	0.00757075045575836	0.245447789793232
YPK_0972	4.96224121770345	7.12797108692569	0.00762979723680916	0.245447789793232
YPK_3433	2.48804188875083	7.79677231051671	0.00777462656221653	0.245447789793232
YPK_4076	-1.96636919788022	8.28832000163985	0.00781032807665962	0.245447789793232
YPK_3720	-1.12104506963543	9.38421715344366	0.00785545077199517	0.245447789793232
YPK_2148	-1.32795608004409	9.12017187925497	0.00803394776037537	0.245447789793232
YPK_0177	2.79881925454342	7.60495411116749	0.00810085145718794	0.245447789793232
YPK_4194	-2.42119730421689	7.63186890527171	0.00821859381141672	0.245447789793232
YPK_0285	-1.37364025064363	8.84808254951161	0.00822773087030616	0.245447789793232
YPK_2676	0.778548931900613	10.9293270797242	0.00823898777944364	0.245447789793232
YPK_2520	5.05785788396349	7.17916346234854	0.00831332163629283	0.245447789793232
YPK_2472	-3.17151580988305	7.48622123662891	0.00831402885090983	0.245447789793232
YPK_3491	-0.679638698711589	11.9755464153658	0.00844859021846707	0.247232429550931
YPK_3740	5.06496320976704	7.18177976726883	0.0085692785743476	0.248583594121944
YPK_1858	-1.29546499592078	9.00730872713003	0.00880003728247535	0.253076934261532
YPK_3773	1.45329606525434	9.07336245140621	0.00898924467862068	0.256308720067338
YPK_3289	3.51129445348337	7.52457340364909	0.00925875589029513	0.261673999959378
YPK_1705	1.45927022979184	8.57425217075829	0.0094092463073616	0.261673999959378
YPK_0973	2.92745438501837	7.7203633902832	0.0095238922125212	0.261673999959378
YPK_1732	1.27291718912358	9.31425219446652	0.009530277557488	0.261673999959378
YPK_2671	1.02122376302596	9.98422021187567	0.00956961270834655	0.261673999959378
YPK_2948	-0.899192411297584	10.0627360224784	0.00977491028160409	0.265114639832774
YPK_2375	4.96503924365429	7.12901472059578	0.0098732343444531	0.265621853008835
YPK_1184	1.57302873764652	8.93267211335893	0.0100957170365881	0.267880909165038
