control_mean	treat_mean	M	D	prob	ranking
YPK_0031	1.76158976545072	6.87510880229391	-1.96450455291382	5.11351903684319	0.541516786570743	-5.47789695764504
YPK_0032	0.120621021268594	0.343429096267838	-1.50953091834573	0.222808074999243	0.241157074340528	-1.52588565486624
YPK_0033	NA	NA	NA	NA	NA	0
YPK_0034	0.120621021268594	0.640906644049918	-2.4096328705306	0.520285622781324	0.258243405275779	-2.46516281409859
YPK_0035	11.3770172216793	5.1857552088005	1.13349635637382	6.19126201287877	0.50689448441247	6.29416708564591
YPK_0036	7.42641025423549	8.63830161969606	-0.218082675734965	1.21189136546057	0.194644284572342	-1.2313572735537
YPK_0037	7.1448126857404	14.7341077163406	-1.04419160080196	7.58929503060015	0.501348920863309	-7.66079207136426
YPK_0038	9.46704171253472	7.43671363244315	0.348248459800875	2.03032808009157	0.219124700239808	2.05997793739691
YPK_0039	3.7574008552868	5.36265696059775	-0.513212932788115	1.60525610531095	0.285571542765787	-1.68529958108909
YPK_0040	3.27608818546775	0.87302981676017	1.90787135938791	2.40305836870758	0.426908473221423	3.0683322257194
YPK_0041	4.82484085074378	5.11670896371464	-0.0847348204783412	0.291868112970862	0.120903277378098	-0.303919372812377
YPK_0042	2.7801522584074	2.30470684209045	0.270580644037685	0.475445416316955	0.176658673061551	0.54704865306904
YPK_0043	2.20966586966475	2.8564184582034	-0.370379114308079	0.646752588538646	0.182354116706635	-0.745298328924114
YPK_0044	NA	NA	NA	NA	NA	0
YPK_0045	NA	NA	NA	NA	NA	0
YPK_0046	NA	NA	NA	NA	NA	0
YPK_0047	NA	NA	NA	NA	NA	0
YPK_0048	2.7056017967251	2.34201410521967	0.208199758152891	0.363587691505428	0.173411270983213	0.4189786972021
YPK_0049	1.56033646813415	2.57008305313735	-0.719957818585452	1.00974658500319	0.31509792166267	-1.24013201977367
YPK_0050	1.90287892072424	2.34201410521967	-0.299565998230256	0.439135184495432	0.175309752198241	-0.531582070387562
YPK_0051	NA	NA	NA	NA	NA	0
YPK_0052	NA	NA	NA	NA	NA	0
YPK_0053	NA	NA	NA	NA	NA	0
YPK_0054	0.120621021268594	1.15936522182623	-3.26478185356601	1.03874420055763	0.34177657873701	-3.42604583529847
YPK_0055	6.57330861734378	5.4334371037979	0.274754609094346	1.13987151354588	0.195093924860112	1.17251744661304
YPK_0056	0.566963355622904	0.0857272317083878	2.72543003093268	0.481236123914516	0.257494004796163	2.76759047918401
YPK_0057	0.120621021268594	0.61532795220072	-2.35087417531943	0.494706930932126	0.257943645083933	-2.40236224073225
YPK_0058	NA	NA	NA	NA	NA	0
YPK_0059	0.120621021268594	0.61532795220072	-2.35087417531943	0.494706930932126	0.257943645083933	-2.40236224073225
YPK_0060	1.45653658636993	1.17050736454225	0.315407929062958	0.286029221827679	0.167965627498002	0.425787361784179
YPK_0061	3.78259023573223	2.5834440634022	0.550078852179393	1.19914617233003	0.308153477218225	1.31929461691798
YPK_0062	0.120621021268594	0.880628000514472	-2.86805136173742	0.760006979245877	0.28707034372502	-2.96704048204036
YPK_0063	NA	NA	NA	NA	NA	0
YPK_0064	NA	NA	NA	NA	NA	0
YPK_0065	1.26565383839038	1.22530602546205	0.0467407620619396	0.0403478129283259	0.0596023181454836	0.0617466180954879
YPK_0066	4.87521961163463	2.84468988692337	0.777195822598942	2.03052972471126	0.367855715427658	2.17418589582428
YPK_0067	5.38803598773395	8.03044509572387	-0.575720465951775	2.64240910798992	0.373850919264588	-2.70440010887883
YPK_0068	NA	NA	NA	NA	NA	0
YPK_0069	0.566963355622904	0.0857272317083878	2.72543003093268	0.481236123914516	0.257494004796163	2.76759047918401
YPK_0070	1.06289928268325	0.0857272317083878	3.63210753058843	0.97717205097486	0.359562350119904	3.76125914169226
YPK_0071	NA	NA	NA	NA	NA	0
