baseMean	log2FoldChange	lfcSE	pvalue	padj
YPK_0025	6.85951709911019	0.0990740900168962	0.317589840060087	0.265867876735187	NA
YPK_0026	13.8889753932358	-3.81582952800624	0.93883408248145	3.9031905988405e-06	0.00026086323835584
YPK_0027	8.39351140124809	-0.248644824100275	0.44796426276828	0.0262289954736269	NA
YPK_0028	1.3893762808277	-0.0531479526888003	0.31337508442394	0.169781891933107	NA
YPK_0029	0.481621064573266	-0.00855544444315001	0.307980925294786	0.745785965216578	NA
YPK_0030	15.5842147790369	-0.189857395299895	0.340569981679761	0.178515811788792	0.490307126899352
YPK_0031	4.14646570923518	0.120987694276956	0.335243841165889	0.101288798513898	NA
YPK_0032	0.137175019046696	0.0107384590899643	0.30856597556082	0.893188864515301	NA
YPK_0033	0	NA	NA	NA	NA
YPK_0034	0.294930165423387	0.0141171710782007	0.308818003256579	0.709078261773373	NA
YPK_0035	7.84021809352437	-0.121812235866234	0.32321941473789	0.231392181390499	NA
YPK_0036	7.79703836943256	0.0316770305902878	0.292721018402455	0.749670062011204	NA
YPK_0037	10.8045546139324	0.137657917001152	0.330037792017612	0.202461619848516	NA
YPK_0038	8.28853801225187	-0.0380287098411289	0.294713143294533	0.690966828679691	NA
YPK_0039	4.42057329968767	0.0318910006621329	0.301692267879978	0.666963845319549	NA
YPK_0040	1.92927252255	-0.0557956907767841	0.311794638337839	0.287321260359489	NA
YPK_0041	4.76364104620748	0.013053786236263	0.296514142932068	0.87820365351182	NA
YPK_0042	2.40790737530224	-0.00907192458780264	0.30312844486398	0.874888055320648	NA
YPK_0043	2.37910065954613	0.0212323527226846	0.303955524199611	0.718580765608327	NA
YPK_0044	0	NA	NA	NA	NA
YPK_0045	0	NA	NA	NA	NA
YPK_0046	0	NA	NA	NA	NA
YPK_0047	0	NA	NA	NA	NA
YPK_0048	2.31195960866881	-0.000854754288318319	0.303899440829022	0.985405175869189	NA
YPK_0049	1.99966427139208	0.025092422491303	0.30540626761298	0.641993332596416	NA
YPK_0050	2.03467711293536	0.00925388483479348	0.304593756770467	0.857390615772617	NA
YPK_0051	0	NA	NA	NA	NA
YPK_0052	0	NA	NA	NA	NA
YPK_0053	0	NA	NA	NA	NA
YPK_0054	0.54871570381937	0.021322863735092	0.309353139182771	0.485473668922804	NA
YPK_0055	5.86405725186763	-0.0239808096829347	0.29697264822025	0.776497581325287	NA
YPK_0056	0.207240242481243	-0.0137809997476963	0.30880951179247	0.736015695917115	NA
YPK_0057	0.274365665725977	0.0138868612310855	0.308795064546499	0.726423442147246	NA
YPK_0058	0	NA	NA	NA	NA
YPK_0059	0.274365665725977	0.0138868612310855	0.308795064546499	0.726423442147246	NA
YPK_0060	1.25817229456992	-0.00511542664000674	0.306147164756795	0.897565409929847	NA
YPK_0061	3.05010904537801	-0.0246276639275772	0.303240448766213	0.697520057455934	NA
YPK_0062	0.411532870956381	0.0161492166087785	0.308985794174809	0.608448784740157	NA
YPK_0063	0	NA	NA	NA	NA
YPK_0064	0	NA	NA	NA	NA
YPK_0065	1.16481582574356	0.000527679927099698	0.306317033290354	0.989387728334492	NA
YPK_0066	3.66890653194401	-0.0425621707275025	0.303386415357712	0.563695592315983	NA
YPK_0067	6.31392347683099	0.0668563861779884	0.304900793426132	0.448955374762859	NA
YPK_0068	0	NA	NA	NA	NA
YPK_0069	0.207240242481243	-0.0137809997476963	0.30880951179247	0.736015695917115	NA
YPK_0070	0.414480484962487	-0.0163393953347946	0.309090738272438	0.551181012248111	NA
YPK_0071	0	NA	NA	NA	NA
YPK_0072	0.823050114280178	0.0253608916917369	0.309825859627471	0.360082824788047	NA
YPK_0073	0	NA	NA	NA	NA
YPK_0074	0	NA	NA	NA	NA
YPK_0075	0	NA	NA	NA	NA
YPK_0076	0	NA	NA	NA	NA
YPK_0077	0	NA	NA	NA	NA
YPK_0078	0.294930165423387	0.0141171710782007	0.308818003256579	0.709078261773373	NA
YPK_0079	1.46541253705116	-0.0145123035527905	0.305898944687846	0.745701665928387	NA
YPK_0080	1.55858621467947	0.00364625606726028	0.305339186759273	0.937009348243783	NA
YPK_0081	1.40681772872428	0.0423896649915916	0.311014543728125	0.261503045390977	NA
YPK_0082	3.56556307131842	-0.0899881701962093	0.31982329024817	0.198927041366243	NA
YPK_0083	5.18467761295997	0.0459539090004518	0.302186382453749	0.568913962732141	NA
YPK_0085	0	NA	NA	NA	NA
YPK_0086	0	NA	NA	NA	NA
YPK_0087	0.137182832862989	0.0107386374356372	0.308565986153806	0.893188864515301	NA
YPK_0088	6.50629938311733	-0.0916774696371743	0.313991712921732	0.300955777267267	NA
YPK_0089	0.207240242481243	-0.0137809997476963	0.30880951179247	0.736015695917115	NA
YPK_0090	0.62172072744373	-0.0208349504135716	0.309468269210799	0.412007698002421	NA
YPK_0091	1.9264226902958	-0.0114096047545935	0.30478993556458	0.81964673602534	NA
YPK_0092	0.615962810677856	0.0108247819439751	0.307656574553941	0.724873655341569	NA
YPK_0093	1.87705193525525	-0.0192678574051799	0.305128316969295	0.70775991510904	NA
YPK_0094	6.84631795772638	0.00692322420255937	0.292592520078133	0.943313287112212	NA
YPK_0095	0	NA	NA	NA	NA
YPK_0096	1.39236157306213	0.0617827090915603	0.316539654214551	0.0937419665913945	NA
YPK_0097	1.19667622234052	-0.0456065388953164	0.313016992330285	0.130036984516463	NA
YPK_0098	1.19835119443569	0.0384764740739922	0.309875151514798	0.311320487085675	NA
YPK_0099	1.77790583398489	0.0530996231947566	0.313146451702793	0.173464503584626	NA
YPK_0100	8.64871882999462	0.118236988643432	0.319433818959018	0.262919834864271	NA
YPK_0101	6.23450748562568	-0.0116766885115376	0.29783052908087	0.880461473427996	NA
YPK_0102	0.598338111170259	-0.0241641293662794	0.309716316245337	0.384347746635898	NA
YPK_0103	3.06314381699554	-0.0379408764985582	0.306949953300222	0.496787332445956	NA
YPK_0104	1.0920307387514	0.0231796294550614	0.308528583855649	0.443650306494012	NA
YPK_0105	3.96636502423117	0.00505627117743925	0.302364868435169	0.936849110870459	NA
YPK_0106	0.849305532990181	-0.0127454525591017	0.307304321484435	0.703982970710463	NA
YPK_0107	0.50217040790463	0.00345114505890958	0.307724194300279	0.882833462678117	NA
YPK_0108	0	NA	NA	NA	NA
YPK_0109	0	NA	NA	NA	NA
YPK_0110	0	NA	NA	NA	NA
YPK_0111	0.274365665725977	0.0138868612310855	0.308795064546499	0.726423442147246	NA
YPK_0112	0.618803897436255	-0.00292626554174974	0.307460445030631	0.918836802193133	NA
YPK_0113	0.56928020351678	0.0219998537341922	0.309410326702011	0.470847141166452	NA
YPK_0114	4.37265751858246	0.0076537225174907	0.297572676284035	0.925374404873643	NA
YPK_0115	3.42960840447536	-0.0645096734528653	0.311076819990298	0.332745735687927	NA
YPK_0116	7.06969759010131	-0.0864635712919449	0.311752789082182	0.330134526946589	NA
YPK_0117	2.13533102273543	0.0395696078283944	0.308415501165376	0.429247730934238	NA
YPK_0118	0	NA	NA	NA	NA
YPK_0119	30.7759271056384	0.0269915834011016	0.260004041262468	0.851444156084736	0.955930933087337
YPK_0120	48.7464336654768	0.329256201891478	0.358375445217917	0.0887498245402639	0.363149792251488
YPK_0121	0.9164465838675	0.00637566994399711	0.307111754089806	0.843279259702057	NA
YPK_0122	5.26853085725675	0.0339347914240937	0.299522964671866	0.679688916063865	NA
YPK_0123	0.983791472477896	-0.00583474078830801	0.306336131392207	0.879955115747119	NA
YPK_0124	3.04150271015756	0.0861405341517774	0.320671541347604	0.160253888705222	NA
YPK_0125	0	NA	NA	NA	NA
YPK_0126	0	NA	NA	NA	NA
YPK_0127	1.32525130618344	0.0287395762580255	0.307784562629375	0.50325019592558	NA
YPK_0128	0.849305532990181	-0.0127454525591017	0.307304321484435	0.703982970710463	NA
YPK_0129	3.57408634368652	0.0130982891123533	0.300284250220916	0.856459013591728	NA
YPK_0130	3.38891245773578	-0.000221147137072469	0.301251270416534	0.995187662017192	NA
YPK_0131	1.32525177744998	0.0442285864407703	0.310875959451603	0.260495962868466	NA
YPK_0132	0.869885660320176	-0.0119609201202107	0.307223049057265	0.722480383979013	NA
YPK_0133	0.569295831149364	0.0220003668849705	0.309410371016336	0.470836165454527	NA
YPK_0134	0.791023013291393	-0.00920364848817065	0.307439645764029	0.763263392815164	NA
YPK_0135	0.811587512988803	-0.0085261657358444	0.30737688531073	0.781557377649519	NA
YPK_0136	2.08418565048879	-0.00581995647882203	0.303497138477175	0.915784751753057	NA
YPK_0137	0	NA	NA	NA	NA
YPK_0138	0.28464010175839	0.0140034685260472	0.308806602332402	0.717642908678417	NA
YPK_0139	0.696165158898479	0.0261477918016099	0.309824366507004	0.38643940793117	NA
YPK_0140	1.25815666693733	-0.00511595715810829	0.306147194904963	0.897554852284733	NA
YPK_0141	11.489366115465	-0.0174254472721909	0.28332742016497	0.875978191737037	NA
YPK_0142	0	NA	NA	NA	NA
YPK_0143	0	NA	NA	NA	NA
YPK_0144	0	NA	NA	NA	NA
YPK_0145	8.24380502262512	0.180115406789635	0.363752737897185	0.0994679586886551	NA
YPK_0146	0.864225996572751	0.0322679733918405	0.310569417239779	0.293259773448963	NA
YPK_0147	7.99779144067081	-0.0690658545397904	0.299777587411275	0.495259919743128	NA
YPK_0148	4.157878331259	0.00135864771122989	0.29884630372801	0.987661451101129	NA
YPK_0149	11.6219519562729	-0.0133678095809671	0.289211320614521	0.89336102474179	NA
YPK_0150	11.3104336880506	0.094596900842909	0.305107377184841	0.390151008421654	NA
YPK_0151	84.8244729123275	0.0251394665263391	0.21345137036968	0.872245040365747	0.970341646103232
YPK_0152	14.4791442281263	-0.0629501259176111	0.295775433836026	0.550015191711214	0.810867984838958
YPK_0153	0	NA	NA	NA	NA
YPK_0154	0	NA	NA	NA	NA
YPK_0155	0	NA	NA	NA	NA
YPK_0156	0.172219115855139	-0.0132814163728608	0.308763865271867	0.736015695917115	NA
YPK_0157	6.61558804978336	-0.0573596086797861	0.300378715980236	0.534172496863621	NA
YPK_0158	2.04620222475707	0.0614450176481661	0.313569150652035	0.237431380323279	NA
YPK_0159	3.0360781285548	0.0526037636846748	0.308761216828801	0.401993106716103	NA
YPK_0160	19.5924009455059	0.162214756070824	0.310247029142568	0.268971017311714	0.619869988172399
YPK_0161	57.0871864144793	-0.499233448822599	0.410122436627739	0.0300653206846695	0.202028602224823
YPK_0162	25.207985334055	-3.44427354611942	0.644171434487691	5.77520168195812e-09	1.11323871455524e-06
YPK_0163	6.01045587588059	0.0912708404507011	0.312177305864173	0.326485296863736	NA
YPK_0164	0	NA	NA	NA	NA
YPK_0165	1.07986873654137	-0.0421115858049856	0.312326681792308	0.156130516902508	NA
YPK_0166	0	NA	NA	NA	NA
YPK_0167	0.321032645254469	-0.00235634977269984	0.307929661015756	0.91920831850728	NA
YPK_0168	2.01127981156238	0.0399030145542841	0.307740726570134	0.457568295799457	NA
YPK_0169	0.942670747312334	-0.0363033677871952	0.311317926254404	0.206212728669709	NA
YPK_0170	8.73120505049929	0.0975064099922353	0.312624492754274	0.320065415186871	NA
YPK_0171	1.39802123680955	0.0112122523382271	0.305787342176634	0.800327801076839	NA
YPK_0172	4.1420933724982	0.0144750054719836	0.300677216660464	0.838641756053475	NA
YPK_0173	9.04254670944376	-0.0277192652580662	0.290656680244666	0.783183489230566	NA
YPK_0174	104.893610671793	0.862066110792671	0.312965692681973	0.000540207098904251	0.012389038471689
YPK_0175	8.24912895629558	0.193857469552587	0.376666450475407	0.0790576977884737	NA
YPK_0176	0.685898536682358	0.0262521575720177	0.309827724391728	0.388290944283396	NA
YPK_0177	3.32806115123863	0.121160740447549	0.338915804967017	0.0589912812649282	NA
