baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YPK_0094	6.80372348300077	0.57809205486304	1.2574113915106	0.459747747448468	0.645697292987318	NA
YPK_0100	8.57720070606881	1.53831460306958	1.1382820809429	1.3514353153968	0.176556027480689	NA
YPK_0101	6.21962092725889	0.624468183228571	1.51341138171898	0.412622893399467	0.679882925528344	NA
YPK_0103	3.05592483543167	-2.93027221878152	2.61315988082327	-1.12135206126705	0.262138033205445	NA
YPK_0105	3.93991619172801	1.89082432586431	1.82843626452076	1.03412099319737	0.301079603211098	NA
YPK_0114	4.36255147527691	-0.358927185838281	1.60308524820311	-0.223897753560268	0.822836863760482	NA
YPK_0116	7.01562547938359	-0.568755749839118	1.40532204722958	-0.404715595944965	0.685686576880683	NA
YPK_0119	30.6354523970611	-0.436465452702759	0.678031149699005	-0.643724780043685	0.519753918156605	0.88953163417288
YPK_0120	48.3707286372152	0.554709295443898	0.595857104765202	0.930943494686501	0.351882793979015	0.827049369322115
YPK_0122	5.23996317221599	0.365809122040896	1.54613511291267	0.236595831105453	0.812970354688735	NA
YPK_0129	3.5480306212898	0.750137860774424	1.75603200144585	0.427177785004367	0.66924984060627	NA
YPK_0141	11.4356040021044	-0.733377867337365	1.02160401109441	-0.717869017127017	0.472838053151652	NA
YPK_0145	8.17684083144415	0.943758789740174	1.2516747274477	0.753996840428823	0.450851118961704	NA
YPK_0147	7.95601900882489	-1.00409251421367	1.23660732537994	-0.811973610058605	0.416806774370792	NA
YPK_0148	4.13904612106605	-0.61436837739951	1.73327109028214	-0.354456022975324	0.722997155922167	NA
YPK_0149	11.5478053952992	0.158642701114441	1.15689712901271	0.137127750718706	0.890929817760048	NA
YPK_0150	11.2229594263997	0.261597555912624	1.11361478772778	0.234908478942155	0.814279768453201	NA
YPK_0151	84.3610521579758	-0.00594959472306138	0.443820404351304	-0.0134054105325721	0.989304350249475	0.992067770222239
YPK_0152	14.3953302889269	-2.53683754926613	1.16167447491302	-2.18377661216674	0.0289786669752011	0.381898451232045
YPK_0157	6.60027670036476	-0.134161212245237	1.30495099832165	-0.102809387032761	0.918114254971893	NA
YPK_0160	19.4643277495562	0.611121641570357	0.776637923596409	0.78688102010318	0.431351519141404	0.859790976870993
YPK_0161	56.7287863587369	-1.0761238603865	0.573996390074673	-1.87479203527134	0.0608213393474682	0.485219129460913
YPK_0162	25.1146408678729	-3.93150163619215	0.974633200907201	-4.03382691307115	5.4875745936479e-05	0.00985019639559798
YPK_0163	5.96983087803636	0.861080512487331	1.36300184116145	0.631753007577439	0.527548284743632	NA
YPK_0170	8.69028842214967	0.849255369002674	1.28071734669378	0.663109132702124	0.507260661981688	NA
YPK_0172	4.12116595282705	0.632123458332942	1.79918957823189	0.351337883445361	0.725334877294318	NA
YPK_0173	9.00891322877373	-0.290751752522165	1.18634874305447	-0.245081182261442	0.806393573060031	NA
YPK_0174	104.069563479027	1.15714869055265	0.434976436395362	2.66025603626235	0.00780812706161197	0.195087634904144
YPK_0175	8.18142426932691	2.07510401694113	1.22319558053307	1.69646134270432	0.0897985451255567	NA
YPK_0177	3.29729068800408	2.35074822541482	2.13957217804971	1.09870012777863	0.271898886820323	NA
YPK_0178	4.42880995724466	0.669245959027336	1.56858648904487	0.42665544023323	0.669630310705723	NA
YPK_0189	4.10717731341235	0.0783330359684043	1.61231825578167	0.0485841028515972	0.961250739090024	NA
YPK_0219	3.67597675676587	-0.27650697674824	2.11194431535159	-0.130925315946224	0.895834387829107	NA
YPK_0224	5.75970132040685	0.465589336407614	1.53029157550271	0.304248774456374	0.76093836832309	NA
YPK_0225	13.9791292781083	-0.188508057190723	0.95169238251217	-0.198076669157654	0.842985078488371	0.969321189423226
YPK_0226	6.78303368673019	0.672841312403772	1.33025574554599	0.505798463683846	0.612998137144628	NA
YPK_0227	15.6867892392747	-0.477240872561963	0.869965016380612	-0.548574785854571	0.583297293342041	0.88953163417288
YPK_0230	3.14343284860997	0.305721822844998	1.89523821383792	0.161310499446875	0.871848854194336	NA
YPK_0231	9.42117125939134	1.39236151377985	1.1437767936457	1.21733674045073	0.22347612092159	NA
YPK_0232	2.59992779474632	0.5005806110262	2.55424973970305	0.195979509460338	0.844626204077715	NA
YPK_0235	6.17864447805152	0.651575144506934	1.30812717987393	0.498097703749058	0.618415178962792	NA
YPK_0237	4.1292497673896	-1.41087245091137	1.97251434025964	-0.715266004466997	0.474444690676005	NA
