baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YPK_0042	2.40790737530224	-0.247577743591735	1.5723940511796	-0.157452734831961	0.874888055320648	NA
YPK_0043	2.37910065954613	0.562969926335476	1.56225951736983	0.36035621487733	0.718580765608327	NA
YPK_0044	0	NA	NA	NA	NA	NA
YPK_0045	0	NA	NA	NA	NA	NA
YPK_0046	0	NA	NA	NA	NA	NA
YPK_0047	0	NA	NA	NA	NA	NA
YPK_0048	2.31195960866881	-0.0315216061724484	1.72315884363239	-0.0182929195929502	0.985405175869189	NA
YPK_0049	1.99966427139208	0.801064331712563	1.72303915384808	0.464913597536968	0.641993332596416	NA
YPK_0050	2.03467711293536	0.328102954209399	1.8258698955422	0.179696787274083	0.857390615772617	NA
YPK_0051	0	NA	NA	NA	NA	NA
YPK_0052	0	NA	NA	NA	NA	NA
YPK_0053	0	NA	NA	NA	NA	NA
YPK_0054	0.54871570381937	2.41239434180891	3.45850092188073	0.697526008030397	0.485473668922804	NA
YPK_0055	5.86405725186763	-0.292782372398333	1.03133705503958	-0.283886214470494	0.776497581325287	NA
YPK_0056	0.207240242481243	-1.37566717532022	4.0804728567969	-0.337134254680496	0.736015695917115	NA
YPK_0057	0.274365665725977	1.4137246705622	4.04051690826618	0.34988708193993	0.726423442147246	NA
YPK_0058	0	NA	NA	NA	NA	NA
YPK_0059	0.274365665725977	1.4137246705622	4.04051690826618	0.34988708193993	0.726423442147246	NA
YPK_0060	1.25817229456992	-0.302538064185995	2.35003948157931	-0.128737438905783	0.897565409929847	NA
YPK_0061	3.05010904537801	-0.556822191820375	1.43263376629052	-0.388670297268046	0.697520057455934	NA
YPK_0062	0.411532870956381	1.99740478750805	3.898980674234	0.512288968423899	0.608448784740157	NA
YPK_0063	0	NA	NA	NA	NA	NA
YPK_0064	0	NA	NA	NA	NA	NA
YPK_0065	1.16481582574356	0.0326682284116461	2.45609115206018	0.0133009022829808	0.989387728334492	NA
YPK_0066	3.66890653194401	-0.700455011077501	1.21320105077017	-0.577361032314335	0.563695592315983	NA
YPK_0067	6.31392347683099	0.759079521269009	1.00253817328483	0.757157723762151	0.448955374762859	NA
YPK_0068	0	NA	NA	NA	NA	NA
YPK_0069	0.207240242481243	-1.37566717532022	4.0804728567969	-0.337134254680496	0.736015695917115	NA
YPK_0070	0.414480484962487	-2.40006757618278	4.02701753627059	-0.595991339636796	0.551181012248111	NA
YPK_0071	0	NA	NA	NA	NA	NA
YPK_0072	0.823050114280178	2.99652749799094	3.27415173725214	0.915207277627823	0.360082824788047	NA
YPK_0073	0	NA	NA	NA	NA	NA
YPK_0074	0	NA	NA	NA	NA	NA
YPK_0075	0	NA	NA	NA	NA	NA
YPK_0076	0	NA	NA	NA	NA	NA
YPK_0077	0	NA	NA	NA	NA	NA
YPK_0078	0.294930165423387	1.50449837791527	4.03248825549771	0.37309429875316	0.709078261773373	NA
YPK_0079	1.46541253705116	-0.670959347313794	2.06886850846668	-0.324312224081882	0.745701665928387	NA
YPK_0080	1.55858621467947	0.163137386617743	2.06426559944321	0.0790292618652106	0.937009348243783	NA
YPK_0081	1.40681772872428	2.62103094123082	2.33427532611878	1.12284566944758	0.261503045390977	NA
YPK_0082	3.56556307131842	-1.68257710633568	1.30979149938995	-1.28461446506514	0.198927041366243	NA
YPK_0083	5.18467761295997	0.632962407128762	1.11113934868564	0.569651689392053	0.568913962732141	NA
YPK_0085	0	NA	NA	NA	NA	NA
YPK_0086	0	NA	NA	NA	NA	NA
YPK_0087	0.137182832862989	0.54788617632227	4.0804728567969	0.134270266106451	0.893188864515301	NA
YPK_0088	6.50629938311733	-1.04199097258528	1.00735222494263	-1.03438593451722	0.300955777267267	NA
YPK_0089	0.207240242481243	-1.37566717532022	4.0804728567969	-0.337134254680496	0.736015695917115	NA
YPK_0090	0.62172072744373	-2.98793776019845	3.64220247741586	-0.820365638298723	0.412007698002421	NA
YPK_0091	1.9264226902958	-0.419503019916834	1.83993066948185	-0.227999362625425	0.81964673602534	NA
YPK_0092	0.615962810677856	1.09703663513212	3.11699924898282	0.351952807011462	0.724873655341569	NA
YPK_0093	1.87705193525525	-0.665459519022138	1.77519170821453	-0.374866283986562	0.70775991510904	NA
YPK_0094	6.84631795772638	0.0650615516894737	0.914992124560363	0.0711061329852807	0.943313287112212	NA
YPK_0095	0	NA	NA	NA	NA	NA
YPK_0096	1.39236157306213	3.75385429668678	2.23979561504464	1.67598073300628	0.0937419665913945	NA
YPK_0097	1.19667622234052	-3.93693298546543	2.60042751058884	-1.51395605893046	0.130036984516463	NA
YPK_0098	1.19835119443569	2.29852303402733	2.27024680012547	1.0124551365518	0.311320487085675	NA
YPK_0099	1.77790583398489	2.96195166785548	2.1760565365728	1.36115565844647	0.173464503584626	NA
YPK_0100	8.64871882999462	0.950820677254235	0.84931364180157	1.11951654895987	0.262919834864271	NA
YPK_0101	6.23450748562568	-0.167454245206727	1.11350925905461	-0.150384241392747	0.880461473427996	NA
YPK_0102	0.598338111170259	-2.93616297219991	3.37523604423957	-0.869913373084228	0.384347746635898	NA
YPK_0103	3.06314381699554	-1.10065611865713	1.61967586497674	-0.679553324499856	0.496787332445956	NA
YPK_0104	1.0920307387514	2.12953057548302	2.77990746946814	0.766043689896788	0.443650306494012	NA
YPK_0105	3.96636502423117	0.118198769190958	1.49183006466345	0.0792307193632158	0.936849110870459	NA
YPK_0106	0.849305532990181	-1.05161357176596	2.76777263230253	-0.379949407510081	0.703982970710463	NA
YPK_0107	0.50217040790463	0.540824108188529	3.66963283033519	0.147378261857094	0.882833462678117	NA
YPK_0108	0	NA	NA	NA	NA	NA
YPK_0109	0	NA	NA	NA	NA	NA
YPK_0110	0	NA	NA	NA	NA	NA
YPK_0111	0.274365665725977	1.4137246705622	4.04051690826618	0.34988708193993	0.726423442147246	NA
YPK_0112	0.618803897436255	-0.344707781665625	3.38283599151836	-0.101899052312881	0.918836802193133	NA
YPK_0113	0.56928020351678	2.46025675378754	3.41180424430486	0.721101381444823	0.470847141166452	NA
YPK_0114	4.37265751858246	0.103925751340097	1.10953437759089	0.0936660940292352	0.925374404873643	NA
YPK_0115	3.42960840447536	-1.31667665976116	1.35936320346667	-0.968598132127856	0.332745735687927	NA
YPK_0116	7.06969759010131	-0.976202752377103	1.00242319224384	-0.973842943709189	0.330134526946589	NA
YPK_0117	2.13533102273543	1.45114302604565	1.83577542631766	0.790479600740957	0.429247730934238	NA
YPK_0118	0	NA	NA	NA	NA	NA
YPK_0119	30.7759271056384	0.0890777738836254	0.475649433990551	0.187276106136174	0.851444156084736	0.955930933087337
YPK_0120	48.7464336654768	0.696790018159628	0.409387726820656	1.70202957370258	0.0887498245402639	0.363149792251488
YPK_0121	0.9164465838675	0.575569913088599	2.91131988374105	0.197700677381075	0.843279259702057	NA
YPK_0122	5.26853085725675	0.449200976643167	1.08794960623366	0.412887668757236	0.679688916063865	NA
YPK_0123	0.983791472477896	-0.36560421012174	2.42080127159723	-0.151026114539554	0.879955115747119	NA
YPK_0124	3.04150271015756	2.16763538364585	1.54365995880884	1.40421818372389	0.160253888705222	NA
YPK_0125	0	NA	NA	NA	NA	NA
YPK_0126	0	NA	NA	NA	NA	NA
YPK_0127	1.32525130618344	1.46376815652592	2.18673724505087	0.669384563618145	0.50325019592558	NA
YPK_0128	0.849305532990181	-1.05161357176596	2.76777263230253	-0.379949407510081	0.703982970710463	NA
YPK_0129	3.57408634368652	0.22909820178131	1.26655107263115	0.180883508554754	0.856459013591728	NA
YPK_0130	3.38891245773578	-0.00831134329830519	1.37801050436466	-0.00603140779549948	0.995187662017192	NA
YPK_0131	1.32525177744998	2.47509910780616	2.19965859934805	1.1252196629694	0.260495962868466	NA
YPK_0132	0.869885660320176	-0.974395094515725	2.74364826489649	-0.355145776877666	0.722480383979013	NA
YPK_0133	0.569295831149364	2.46029278905938	3.41176980710106	0.721119222035048	0.470836165454527	NA
