Geneid,sampleTreat_1.sam,sampleTreat_2.sam,sampleTreat_3.sam,sampleCtrl_1.sam,sampleCtrl_2.sam,sampleCtrl_3.sam
YPK_2341,   0,   0,   0,   0,   0,   0
YPK_2342,   0,   0,   0,   0,   0,   0
YPK_2343,   0,   0,   0,   0,   2,   0
YPK_2344,   0,   0,   0,   0,   0,   0
YPK_2345,   0,   0,   0,   0,   0,   0
YPK_2346,   0,   0,   1,   0,   0,   0
YPK_2347,   0,   0,   0,   0,   0,   0
YPK_2348,   0,   0,   0,   0,   0,   0
YPK_2349,   0,   0,   0,   0,   0,   0
YPK_2350,   4,   2,   2,   0,   0,   0
YPK_2351,   0,   0,   0,   0,   0,   1
YPK_2352,   4,   0,   0,   0,   0,   0
YPK_2353,   0,   0,   2,   0,   0,   2
YPK_2354,   4,  16,   5,   6,   6,   2
YPK_2355,   0,   4,  10,   2,   4,   4
YPK_2356,   0,   2,   0,   0,   0,   1
YPK_2357,   2,   0,   2,   0,   2,   0
YPK_2358,   0,   0,   4,   2,   0,   3
YPK_2359,   3,   0,   6,   0,   0,   1
YPK_2360,   0,   0,   0,   0,   2,   0
YPK_2361,   3,   2,   4,   2,   0,   1
YPK_2362,   0,   3,   4,   0,   0,   0
YPK_2363,   0,   1,   5,   6,   6,   8
YPK_2364,   0,   1,   1,   1,   0,   0
YPK_2365,   0,   0,   0,   5,   0,   2
YPK_2366,   0,   4,   2,   0,   0,   3
YPK_2367,   2,   4,   6,   2,   0,   0
YPK_2368,   0,   0,   0,   0,   0,   0
YPK_2369,  42,  24,  20,  25,  24,  17
YPK_2370,   0,   0,   0,   0,   0,   0
YPK_2371,   1,   1,   0,   2,   0,   2
YPK_2372,  10,   2,   1,   8,   0,   5
YPK_2373,   0,   1,   0,   0,   0,   0
YPK_2374,   4,   0,   0,   2,   2,   2
YPK_2375,   2,   6,   5,   0,   0,   0
YPK_2376,   9,   1,   5,   2,   0,   3
YPK_2377,   8,   0,   0,   4,   0,   6
YPK_2378,   2,   0,   2,   2,   0,   2
YPK_2379,   0,   0,   0,   0,   0,   0
YPK_2380,   0,   0,   0,   0,   0,   0
YPK_2381,  16,   5,   4,  42,  23,  29
YPK_2382,   0,   0,   2,   6,   2,   6
YPK_2383,   0,   0,   2,   1,   0,   0
YPK_2384,   0,   2,   1,   0,   0,   1
YPK_2385,   6,   0,   0,  10,   2,   4
YPK_2386,   0,   0,   2,   0,   0,   0
YPK_2387,   1,   0,   2,   0,   5,   0
YPK_2388,   2,   3,   3,   2,   1,   1
YPK_2389,   0,   4,   0,   1,   0,   0
YPK_2390,   2,   2,   0,   0,   0,   1
YPK_2391,   0,   2,   0,   2,   0,   2
YPK_2392,   0,   0,   0,   0,   0,   0
YPK_2393,   0,   0,   0,   0,   0,   0
YPK_2394,   0,   0,   1,   2,   0,   1
YPK_2395,   1,   0,   1,   0,   0,   0
YPK_2396,   2,   4,   2,   0,   0,   0
YPK_2397,   0,   0,   0,   0,   0,   0
YPK_2398,   0,   0,   0,   0,   0,   0
YPK_2399,   0,   0,   0,   0,   0,   0
YPK_2400,   0,   0,   0,   0,   0,   0
YPK_2401,   0,   1,   0,   0,   0,   0
YPK_2402,   2,   0,   1,   0,   4,   0
YPK_2403,   0,   0,   0,   0,   0,   0
YPK_2404,   0,   0,   0,   0,   0,   1
YPK_2405,   0,   0,   0,   2,   0,   2
YPK_2406,   0,   0,   0,   0,   0,   1
YPK_2407,   2,   0,   4,   0,   0,   0
YPK_2408,   0,   2,   0,   0,   0,   0
YPK_2409,   2,   0,   0,   0,   0,   0
YPK_2410,   0,   0,   0,   0,   0,   0
YPK_2411,   0,   0,   0,   4,   0,   2
YPK_2412,   0,   0,   0,   0,   0,   0
YPK_2413,   0,   0,   0,   0,   0,   0
YPK_2414,   4,   0,   0,   2,   4,   2
YPK_2415,   0,   0,   2,   0,   8,   0
YPK_2416,   1,   4,   2,   4,   1,   5
YPK_2417,   0,   0,   0,   0,   0,   1
YPK_2418,   0,   0,   0,   0,   0,   0
